state,district,age_0_5,age_5_17,age_18_greater,total_enrolments,child_0_5_share,child_5_17_share,total_demo_updates,total_bio_updates,updates_per_1000,voluntary_share,mandatory_share,voluntary_dominance_ratio,age_transition_stress,child_exclusion_risk,migration_pressure,service_centralization,exclusion_risk_index,fraud_risk_proxy,net_correction_benefit,policy_recommendation
Haryana,Hisar,4927,289,18,5234,0.941345052,0.055215896,63206,115867,34213.4123,0.352960229,0.647039771,0.545500052,0.058644481,2006.427791,12073.73448,6.535513334,0.173831776,0.631775701,-0.457943925,Stricter Enforcement
Haryana,Jhajjar,2515,99,10,2624,0.958460366,0.037728659,32384,56639,33926.44817,0.363767074,0.636232926,0.571751412,0.039348172,1334.943708,12336.7619,12.92436121,0.128037383,0.610280374,-0.482242991,Stricter Enforcement
Haryana,Jhajjar *,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Haryana,Jind,3729,92,0,3821,0.975922533,0.024077467,44013,91268,35404.60612,0.325342618,0.674657382,0.482233836,0.024664879,873.2503387,11515.69859,9.263371566,0.101869159,0.713084112,-0.611214953,Stricter Enforcement
Haryana,Kaithal,2894,85,12,2991,0.967569375,0.028418589,39974,79936,40090.27081,0.333363912,0.666636088,0.500068804,0.029360967,1177.089126,13360.29412,13.39915468,0.11682243,0.682242991,-0.565420561,Stricter Enforcement
Haryana,Karnal,3861,179,8,4048,0.953804348,0.044219368,49131,94019,35363.14229,0.343211015,0.656788985,0.52255903,0.046349042,1639.047765,12134.10719,8.733796565,0.145794393,0.653271028,-0.507476636,Stricter Enforcement
Haryana,Kurukshetra,2315,78,11,2404,0.962978369,0.032445923,28709,69992,41056.98835,0.290865433,0.709134567,0.410169588,0.033678756,1382.748312,11937.21414,17.07151283,0.129906542,0.794392523,-0.664485981,Stricter Enforcement
Haryana,Mahendragarh,2575,155,24,2754,0.935003631,0.056281772,28534,48832,28092.22948,0.368813577,0.631186423,0.584317982,0.060170807,1690.332131,10357.16878,10.19681651,0.152336449,0.593457944,-0.441121495,Stricter Enforcement
Haryana,Mewat,6989,550,19,7558,0.924715533,0.072770574,66667,68325,17860.80974,0.493855237,0.506144763,0.975719345,0.078683834,1405.356989,8819.552851,2.362853517,0.13364486,0.305607477,-0.171962617,Stricter Enforcement
Haryana,Nuh,1251,213,42,1506,0.830677291,0.141434263,0,0,0,0,1,0,0.170127796,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Haryana,Palwal,4367,332,4,4703,0.928556241,0.070593238,68968,58697,27145.43908,0.540222142,0.459777858,1.174963372,0.076007326,2063.252238,14661.56463,5.77071409,0.177570093,0.225233645,-0.047663551,Stricter Enforcement
Haryana,Panchkula,1287,92,5,1384,0.929913295,0.066473988,34418,37369,51869.21965,0.479439461,0.520560539,0.921006155,0.071428571,3704.944261,24850.54152,37.45070011,0.328971963,0.339252336,-0.010280374,Stricter Enforcement
Haryana,Panipat,5498,543,47,6088,0.903088042,0.089191853,69084,79773,24450.88699,0.464093297,0.535906703,0.86599644,0.098745226,2414.408372,11345.70537,4.015583346,0.213084112,0.370093458,-0.157009346,Stricter Enforcement
Haryana,Rewari,2329,150,6,2485,0.93722334,0.060362173,44031,49732,37731.58954,0.469593874,0.530406126,0.885347757,0.064377682,2429.072288,17711.58488,15.17763055,0.21682243,0.355140187,-0.138317757,Stricter Enforcement
Haryana,Rohtak,3161,191,61,3413,0.926164665,0.055962496,26531,75970,30032.52271,0.258833974,0.741166026,0.349225362,0.060404807,1814.10874,7771.236087,8.796872498,0.157009346,0.86635514,-0.709345794,Stricter Enforcement
Haryana,Sirsa,3135,198,2,3335,0.940029985,0.059370315,55162,97066,45645.57721,0.362361968,0.637638032,0.568287884,0.063137755,2881.959275,16535.3717,13.68272698,0.259813084,0.614953271,-0.355140187,Stricter Enforcement
Haryana,Sonipat,4314,268,37,4619,0.933968391,0.058021217,60664,84653,31460.70578,0.417456888,0.582543112,0.716611147,0.062108922,1953.990533,13130.73593,6.809676576,0.169158879,0.478504673,-0.309345794,Stricter Enforcement
Haryana,Yamuna Nagar,3278,110,8,3396,0.965253239,0.032391048,52881,88728,41698.76325,0.373427018,0.626572982,0.595983275,0.033546813,1398.860615,15566.97086,12.27517317,0.13271028,0.582242991,-0.44953271,Stricter Enforcement
Haryana,Yamunanagar,56,3,0,59,0.949152542,0.050847458,428,882,22203.38983,0.326468345,0.673531655,0.484711212,0.052631579,1168.599465,7133.333333,370.0564972,0.11588785,0.710280374,-0.594392523,Stricter Enforcement
Himachal Pradesh,Bilaspur,985,14,0,999,0.985985986,0.014014014,6760,21906,28694.69469,0.235811211,0.764188789,0.308577167,0.014198783,407.4297421,6760,28.69469469,0.087850467,0.906542056,-0.818691589,Stricter Enforcement
Himachal Pradesh,Chamba,1586,64,7,1657,0.957151479,0.038624019,19658,33842,32287.26614,0.367432384,0.632567616,0.580858671,0.040327662,1302.069964,11856.45356,19.47362252,0.122429907,0.596261682,-0.473831776,Stricter Enforcement
Himachal Pradesh,Hamirpur,1181,16,1,1198,0.985809683,0.013355593,7320,23819,25992.48748,0.235067437,0.764932563,0.307304786,0.013536379,351.8441622,6105.087573,21.67847163,0.085981308,0.907476636,-0.821495327,Stricter Enforcement
Himachal Pradesh,Kangra,3869,75,22,3966,0.975542108,0.018910741,34127,89913,31275.84468,0.275126773,0.724873227,0.379551572,0.019379845,606.1210209,8602.72246,7.884004205,0.093457944,0.834579439,-0.741121495,Stricter Enforcement
Himachal Pradesh,Kinnaur,137,21,5,163,0.840490798,0.128834356,1169,4467,34576.68712,0.207379812,0.792620188,0.261638317,0.152173913,5261.669779,7128.04878,210.833458,0.460747664,0.928971963,-0.468224299,Stricter Enforcement
Himachal Pradesh,Kullu,1022,111,106,1239,0.824858757,0.089588378,9602,21248,24899.11219,0.311237885,0.688762115,0.451880088,0.108504399,2701.663199,7743.548387,20.07992918,0.238317757,0.747663551,-0.509345794,Stricter Enforcement
Himachal Pradesh,Lahaul and Spiti,3,0,0,3,1,0,59,47,35333.33333,0.551401869,0.448598131,1.229166667,0,0,14750,8833.333333,0.038785047,0.209345794,-0.170560748,Stricter Enforcement
Himachal Pradesh,Lahul & Spiti,36,2,0,38,0.947368421,0.052631579,277,595,22947.36842,0.317296678,0.682703322,0.464765101,0.054054054,1240.398293,7102.564103,588.3940621,0.119626168,0.73271028,-0.613084112,Stricter Enforcement
Himachal Pradesh,Lahul and Spiti,31,1,0,32,0.96875,0.03125,233,765,31187.5,0.233233233,0.766766767,0.304177546,0.03125,974.609375,7060.606061,945.0757576,0.104672897,0.911214953,-0.806542056,Stricter Enforcement
Himachal Pradesh,Mandi,2460,43,11,2514,0.978520286,0.017104216,16305,63334,31678.20207,0.204733802,0.795266198,0.257440594,0.017472572,553.4996704,6483.101392,12.59570659,0.088785047,0.93271028,-0.843925234,Stricter Enforcement
Himachal Pradesh,Shimla,1488,161,21,1670,0.891017964,0.096407186,15742,39727,33214.97006,0.283793041,0.716206959,0.396244462,0.108126259,3591.410463,9420.706164,19.87730105,0.322429907,0.81588785,-0.493457944,Stricter Enforcement
Himachal Pradesh,Sirmaur,1510,67,7,1584,0.953282828,0.04229798,19418,31453,32115.5303,0.381703098,0.618296902,0.617345966,0.044341496,1424.050649,12251.1041,20.26216423,0.134579439,0.56635514,-0.431775701,Stricter Enforcement
Himachal Pradesh,Solan,1105,65,6,1176,0.93962585,0.055272109,8983,33569,36183.67347,0.21110145,0.78889855,0.26759011,0.058770344,2126.526922,7632.115548,30.74228842,0.185981308,0.927102804,-0.741121495,Stricter Enforcement
Himachal Pradesh,Una,1226,21,0,1247,0.983159583,0.016840417,9561,31549,32967.12109,0.232565493,0.767434507,0.303042789,0.017114914,564.2294563,7661.057692,26.41596241,0.089719626,0.912149533,-0.822429907,Stricter Enforcement
Jammu & Kashmir,Anantnag,3,1,0,4,0.75,0.25,11,7,4500,0.578947368,0.421052632,1.375,0.25,1125,2200,900,0.114018692,0.181308411,-0.06728972,Stricter Enforcement
Jammu & Kashmir,Badgam,0,2,0,2,0,1,5,10,7500,0.3125,0.6875,0.454545455,2,15000,1666.666667,2500,0.829906542,0.742056075,0.087850467,Proactive Correction
Jammu & Kashmir,Bandipur,2,0,0,2,1,0,0,1,500,0,1,0,0,0,0,166.6666667,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jammu & Kashmir,Baramula,43,4,0,47,0.914893617,0.085106383,105,69,3702.12766,0.6,0.4,1.5,0.090909091,336.55706,2187.5,77.12765957,0.085046729,0.155607477,-0.070560748,Stricter Enforcement
Jammu & Kashmir,Doda,2,0,0,2,1,0,5,4,4500,0.5,0.5,1,0,0,1666.666667,1500,0.038785047,0.290186916,-0.251401869,Stricter Enforcement
Jammu & Kashmir,Jammu,52,10,0,62,0.838709677,0.161290323,193,232,6854.83871,0.453051643,0.546948357,0.82832618,0.188679245,1293.365794,3063.492063,108.8069636,0.120560748,0.399065421,-0.278504673,Stricter Enforcement
Jammu & Kashmir,Kargil,2,2,0,4,0.5,0.5,11,2,3250,0.785714286,0.214285714,3.666666667,0.666666667,2166.666667,2200,650,0.190654206,0.038317757,0.152336449,Proactive Correction
Jammu & Kashmir,Kathua,8,0,0,8,1,0,48,47,11875,0.5,0.5,1,0,0,5333.333333,1319.444444,0.038785047,0.290186916,-0.251401869,Stricter Enforcement
Jammu & Kashmir,Kupwara,8,1,0,9,0.888888889,0.111111111,7,3,1111.111111,0.636363636,0.363636364,1.75,0.111111111,123.4567901,700,111.1111111,0.082242991,0.126635514,-0.044392523,Stricter Enforcement
Jammu & Kashmir,Leh (ladakh),3,0,0,3,1,0,7,11,6000,0.368421053,0.631578947,0.583333333,0,0,1750,1500,0.038785047,0.594392523,-0.555607477,Stricter Enforcement
Jammu & Kashmir,Pulwama,4,0,0,4,1,0,1,2,750,0.25,0.75,0.333333333,0,0,200,150,0.038785047,0.878504673,-0.839719626,Stricter Enforcement
Jammu & Kashmir,Punch,1,0,0,1,1,0,5,5,10000,0.454545455,0.545454545,0.833333333,0,0,2500,5000,0.038785047,0.393925234,-0.355140187,Stricter Enforcement
Jammu & Kashmir,Rajauri,1,1,0,2,0.5,0.5,15,12,13500,0.535714286,0.464285714,1.153846154,0.5,6750,5000,4500,0.558878505,0.236448598,0.322429907,Proactive Correction
Jammu & Kashmir,Srinagar,2,1,0,3,0.666666667,0.333333333,10,16,8666.666667,0.37037037,0.62962963,0.588235294,0.333333333,2888.888889,2500,2166.666667,0.260747664,0.589719626,-0.328971963,Stricter Enforcement
Jammu & Kashmir,Udhampur,2,0,0,2,1,0,3,8,5500,0.25,0.75,0.333333333,0,0,1000,1833.333333,0.038785047,0.878504673,-0.839719626,Stricter Enforcement
Jammu And Kashmir,Doda,261,260,17,538,0.485130112,0.483271375,0,0,0,0,1,0,0.992366412,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jammu And Kashmir,Shopian,308,84,20,412,0.747572816,0.203883495,0,0,0,0,1,0,0.27184466,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jammu and Kashmir,Anantnag,2975,340,35,3350,0.888059701,0.101492537,35555,47562,24811.04478,0.427765346,0.572234654,0.747534849,0.114247312,2834.595169,10610.26559,7.404071852,0.25046729,0.457943925,-0.207476636,Stricter Enforcement
Jammu and Kashmir,Badgam,1674,190,1,1865,0.897587131,0.101876676,12114,14131,14072.38606,0.461556047,0.538443953,0.85720351,0.113432836,1596.270657,6491.961415,7.541471629,0.142990654,0.378504673,-0.235514019,Stricter Enforcement
Jammu and Kashmir,Bandipore,1288,308,43,1639,0.785845027,0.187919463,15894,20373,22127.51678,0.438237565,0.561762435,0.780111907,0.238944919,5287.257694,9691.463415,13.49238828,0.462616822,0.434579439,0.028037383,Proactive Correction
Jammu and Kashmir,Baramula,3155,528,64,3747,0.842006939,0.14091273,36690,61866,26302.64211,0.372271883,0.627728117,0.593046374,0.16730038,4400.442027,9789.220918,7.017780713,0.38411215,0.58411215,-0.2,Stricter Enforcement
Jammu and Kashmir,Budgam,793,51,15,859,0.923166473,0.059371362,18622,23111,48583.23632,0.44620693,0.55379307,0.805728626,0.064231738,3120.585708,21653.48837,56.49213526,0.282242991,0.414018692,-0.131775701,Stricter Enforcement
Jammu and Kashmir,Doda,3186,763,15,3964,0.803733602,0.192482341,11372,36775,12146.06458,0.236188419,0.763811581,0.309223407,0.239410104,2907.890579,2868.095839,3.063320197,0.261682243,0.905607477,-0.643925234,Stricter Enforcement
Jammu and Kashmir,Ganderbal,773,59,11,843,0.916963227,0.069988138,7529,13696,25177.93594,0.354706492,0.645293508,0.549682412,0.07622739,1919.248347,8920.616114,29.83167766,0.165420561,0.628971963,-0.463551402,Stricter Enforcement
Jammu and Kashmir,Jammu,3697,825,36,4558,0.81110136,0.181000439,34923,98567,29286.96797,0.261613142,0.738386858,0.354303628,0.223093564,6533.734065,7660.232507,6.423989464,0.538317757,0.863551402,-0.325233645,Stricter Enforcement
Jammu and Kashmir,Kargil,386,139,1,526,0.733840304,0.264258555,2045,2921,9441.064639,0.411717334,0.588282666,0.699863107,0.359173127,3390.976705,3880.455408,17.91473366,0.308411215,0.493457944,-0.185046729,Stricter Enforcement
Jammu and Kashmir,Kathua,2635,310,9,2954,0.892010833,0.104942451,20430,40116,20496.27624,0.33742382,0.66257618,0.509260413,0.117602428,2410.411849,6913.705584,6.93613409,0.212149533,0.669158879,-0.457009346,Stricter Enforcement
Jammu and Kashmir,Kishtwar,1058,205,6,1269,0.833727344,0.161544523,5868,20920,21109.53507,0.21904513,0.78095487,0.280483724,0.193578848,4086.359479,4620.472441,16.62168116,0.36635514,0.921495327,-0.555140187,Stricter Enforcement
Jammu and Kashmir,Kulgam,970,232,9,1211,0.800990917,0.191577209,12407,25744,31503.71594,0.325199203,0.674800797,0.481918819,0.238928939,7527.149431,10236.79868,25.99316496,0.6,0.714018692,-0.114018692,Stricter Enforcement
Jammu and Kashmir,Kupwara,2392,443,40,2875,0.832,0.154086957,45130,49757,33004.17391,0.475613355,0.524386645,0.906989831,0.185123276,6109.840804,15691.93324,11.47572111,0.507476636,0.345794393,0.161682243,Proactive Correction
Jammu and Kashmir,Leh,163,42,1,206,0.791262136,0.203883495,1427,2564,19373.78641,0.35746493,0.64253507,0.556335283,0.256097561,4961.579446,6893.719807,93.59317105,0.437383178,0.625233645,-0.187850467,Stricter Enforcement
Jammu and Kashmir,Pulwama,1738,118,15,1871,0.928915019,0.063067878,21486,32830,29030.46499,0.395566765,0.604433235,0.654442448,0.067855089,1969.86479,11477.5641,15.50772703,0.170093458,0.530841121,-0.360747664,Stricter Enforcement
Jammu and Kashmir,Punch,2063,548,17,2628,0.78500761,0.208523592,23435,46370,26562.02435,0.335716128,0.664283872,0.505380518,0.265503876,7052.320419,8914.035755,10.10347066,0.579439252,0.673831776,-0.094392523,Stricter Enforcement
Jammu and Kashmir,Rajouri,2071,594,9,2674,0.774495138,0.222139117,15808,55736,26755.42259,0.220951848,0.779048152,0.283617705,0.286679537,7670.232151,5909.53271,10.00202714,0.609345794,0.920560748,-0.311214953,Stricter Enforcement
Jammu and Kashmir,Ramban,1317,597,6,1920,0.6859375,0.3109375,7754,29877,19599.47917,0.206048044,0.793951956,0.259522056,0.452959029,8877.761049,4036.439355,10.20274813,0.676635514,0.930841121,-0.254205607,Stricter Enforcement
Jammu and Kashmir,Reasi,1136,570,9,1715,0.662390671,0.332361516,8400,23240,18448.97959,0.265478335,0.734521665,0.361430231,0.501319261,9248.828819,4895.104895,10.75115361,0.691588785,0.857009346,-0.165420561,Stricter Enforcement
Jammu and Kashmir,Samba,532,47,9,588,0.904761905,0.079931973,5120,11225,27797.61905,0.313226477,0.686773523,0.456084091,0.088180113,2451.197177,8692.699491,47.1945994,0.217757009,0.739252336,-0.521495327,Stricter Enforcement
Jammu and Kashmir,Shupiyan,537,128,1,666,0.806306306,0.192192192,8207,15529,35639.63964,0.345747146,0.654252854,0.528461043,0.237918216,8479.319468,12304.34783,53.43274309,0.659813084,0.647663551,0.012149533,Proactive Correction
Jammu and Kashmir,Srinagar,2851,270,135,3256,0.875614251,0.082923833,39706,72828,34562.03931,0.352832452,0.647167548,0.545194909,0.094670407,3272.002319,12190.97329,10.61161784,0.296261682,0.63271028,-0.336448598,Stricter Enforcement
Jammu and Kashmir,Udhampur,2446,349,11,2806,0.871703493,0.124376336,16850,45477,22212.04562,0.270343987,0.729656013,0.370508817,0.142623621,3167.96237,6002.850018,7.913090708,0.286915888,0.847663551,-0.560747664,Stricter Enforcement
Jammu and Kashmir,punch,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jharkhand,Bokaro,3505,2278,17,5800,0.604310345,0.392758621,70673,108429,30879.65517,0.394594172,0.605405828,0.651784561,0.649743297,20063.84897,12182.8995,5.323160692,0.894392523,0.534579439,0.359813084,Proactive Correction
Jharkhand,Bokaro *,2,0,0,2,1,0,0,3,1500,0,1,0,0,0,0,500,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jharkhand,Chatra,3448,2819,35,6302,0.547127896,0.447318312,47296,67692,18246.27103,0.411308908,0.588691092,0.698683763,0.817338359,14913.37722,7503.728383,2.894854994,0.828971963,0.494392523,0.334579439,Proactive Correction
Jharkhand,Deoghar,4518,3679,127,8324,0.5427679,0.441975012,60060,67426,15315.47333,0.471106858,0.528893142,0.890741098,0.814118168,12468.60509,7214.414414,1.839696496,0.779439252,0.35046729,0.428971963,Proactive Correction
Jharkhand,Dhanbad,6878,4061,92,11031,0.623515547,0.368144321,107797,151069,23467.13807,0.41641847,0.58358153,0.713556629,0.590347434,13853.76475,9771.301668,2.127188004,0.809345794,0.480373832,0.328971963,Proactive Correction
Jharkhand,Dumka,2743,2996,86,5825,0.470901288,0.514334764,59658,76212,23325.32189,0.439078243,0.560921757,0.782779841,1.091836735,25467.44329,10239.95881,4.003659782,0.927102804,0.431775701,0.495327103,Proactive Correction
Jharkhand,East Singhbhum,5983,2109,99,8191,0.730435844,0.257477719,60660,136106,24022.21951,0.308283401,0.691716599,0.445678767,0.35243984,8466.38719,7404.785156,2.932399842,0.658878505,0.756074766,-0.097196262,Stricter Enforcement
Jharkhand,East Singhbum,848,546,53,1447,0.586040083,0.377332412,0,0,0,0,1,0,0.643109541,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Jharkhand,Garhwa,4523,1535,15,6073,0.744771941,0.25275811,40273,99458,23008.56249,0.288216014,0.711783986,0.404920621,0.339301503,7806.839837,6630.391834,3.78804124,0.61682243,0.803738318,-0.186915888,Stricter Enforcement
Jharkhand,Garhwa *,314,67,0,381,0.824146982,0.175853018,2116,5584,20209.97375,0.27476951,0.72523049,0.378871979,0.212698413,4298.629338,5539.267016,52.90569045,0.380373832,0.835514019,-0.455140187,Stricter Enforcement
Jharkhand,Giridih,7695,6526,82,14303,0.537999021,0.456267916,125671,110410,16505.69811,0.532319279,0.467680721,1.138210867,0.847972973,13996.38589,8785.724273,1.153921847,0.813084112,0.240186916,0.572897196,Proactive Correction
Jharkhand,Godda,3238,2135,17,5390,0.600742115,0.396103896,57677,80934,25716.32653,0.416103945,0.583896055,0.712633595,0.65915406,16951.02104,10698.75719,4.770233079,0.859813084,0.481308411,0.378504673,Proactive Correction
Jharkhand,Gumla,4083,2524,94,6701,0.609312043,0.3766602,46753,87878,20091.18042,0.347265138,0.652734862,0.532015612,0.618021548,12416.78241,6975.97732,2.997788783,0.776635514,0.642056075,0.134579439,Proactive Correction
Jharkhand,Hazaribag,358,208,0,566,0.632508834,0.367491166,9726,7734,30848.05654,0.557012771,0.442987229,1.257401422,0.579387187,17872.96869,17153.43915,54.40574345,0.872897196,0.204672897,0.668224299,Proactive Correction
Jharkhand,Hazaribagh,4125,2048,31,6204,0.664893617,0.330109607,66645,74932,22820.27724,0.470729916,0.529270084,0.889394526,0.496364518,11327.17591,10740.53183,3.677723971,0.752336449,0.352336449,0.4,Proactive Correction
Jharkhand,Jamtara,3160,1274,16,4450,0.71011236,0.286292135,33003,39641,16324.49438,0.454305183,0.545694817,0.832526109,0.403037014,6579.375464,7414.738261,3.667601524,0.541121495,0.396261682,0.144859813,Proactive Correction
Jharkhand,Khunti,1426,1173,45,2644,0.539334342,0.443645991,21421,42955,24347.95764,0.33274306,0.66725694,0.498673061,0.822004205,20014.12355,8098.676749,9.205276991,0.893457944,0.687850467,0.205607477,Proactive Correction
Jharkhand,Kodarma,184,126,0,310,0.593548387,0.406451613,3003,4898,25487.09677,0.380030372,0.619969628,0.612982241,0.681081081,17358.77942,9655.948553,81.95207966,0.869158879,0.568224299,0.300934579,Proactive Correction
Jharkhand,Koderma,2096,1114,12,3222,0.650527623,0.345747983,24185,38143,19344.50652,0.388021627,0.611978373,0.634044673,0.531235098,10276.48081,7503.878374,6.002018777,0.720560748,0.551401869,0.169158879,Proactive Correction
Jharkhand,Latehar,1675,923,11,2609,0.642008432,0.353775393,38645,43463,31471.06171,0.470654861,0.529345139,0.889126634,0.55071599,17331.61692,14806.51341,12.05787805,0.868224299,0.353271028,0.514953271,Proactive Correction
Jharkhand,Lohardaga,1984,919,56,2959,0.670496789,0.310577898,17419,39196,19133.15309,0.30766921,0.69233079,0.444396255,0.462972292,8858.119744,5884.797297,6.463903072,0.672897196,0.757943925,-0.085046729,Stricter Enforcement
Jharkhand,Pakaur,197,100,0,297,0.663299663,0.336700337,3678,2484,20747.47475,0.596787279,0.403212721,1.480080483,0.505050505,10478.5226,12342.28188,69.62239848,0.729906542,0.157943925,0.571962617,Proactive Correction
Jharkhand,Pakur,3971,2908,45,6924,0.573512421,0.419988446,45461,37287,11950.89544,0.549384283,0.450615717,1.219185797,0.732124874,8749.547817,6564.765343,1.725761074,0.668224299,0.214018692,0.454205607,Proactive Correction
Jharkhand,Palamau,220,66,0,286,0.769230769,0.230769231,3686,2634,22097.9021,0.58313558,0.41686442,1.39886148,0.298642534,6599.373477,12843.20557,76.99617456,0.543925234,0.175700935,0.368224299,Proactive Correction
Jharkhand,Palamu,6548,1994,64,8606,0.760864513,0.231698815,114051,113041,26387.63653,0.502221557,0.497778443,1.008925886,0.304473965,8034.348335,13250.95852,3.065834383,0.628037383,0.28411215,0.343925234,Proactive Correction
Jharkhand,Pashchimi Singhbhum,346,252,1,599,0.577629382,0.420701169,9157,14111,38844.74124,0.39352787,0.60647213,0.648880385,0.726224784,28210.01381,15261.66667,64.74123539,0.936448598,0.536448598,0.4,Proactive Correction
Jharkhand,Purbi Singhbhum,814,172,0,986,0.825557809,0.174442191,4866,20559,25786.00406,0.191378903,0.808621097,0.236673152,0.211042945,5441.95423,4930.091185,26.12563734,0.473831776,0.944859813,-0.471028037,Stricter Enforcement
Jharkhand,Ramgarh,1902,1066,11,2979,0.638469285,0.357838201,35460,37237,24403.15542,0.487771328,0.512228672,0.952253075,0.560168156,13669.87056,11899.32886,8.188978329,0.802803738,0.322429907,0.480373832,Proactive Correction
Jharkhand,Ranchi,9318,4613,334,14265,0.65320715,0.323378899,103653,177774,19728.49632,0.3683109,0.6316891,0.583057235,0.495010194,9765.806795,7265.736717,1.382903149,0.704672897,0.595327103,0.109345794,Proactive Correction
Jharkhand,Sahebganj,3636,2670,15,6321,0.575225439,0.422401519,65749,64425,20593.89337,0.505081621,0.494918379,1.020535188,0.734121529,15118.42048,10400.03164,3.257496579,0.83271028,0.278504673,0.554205607,Proactive Correction
Jharkhand,Sahibganj,187,178,0,365,0.512328767,0.487671233,2656,2097,13021.91781,0.558687421,0.441312579,1.265967588,0.946808511,12329.26261,7256.830601,35.5790104,0.775700935,0.202803738,0.572897196,Proactive Correction
Jharkhand,Seraikela-Kharsawan,2398,961,30,3389,0.707583358,0.283564473,28739,64174,27416.05193,0.309307532,0.690692468,0.447822361,0.400583576,10982.42014,8477.581121,8.087330954,0.743925234,0.751401869,-0.007476636,Stricter Enforcement
Jharkhand,Seraikela-kharsawan,545,316,0,861,0.632984901,0.367015099,5962,14414,23665.50523,0.292584777,0.707415223,0.413596948,0.578754579,13696.51951,6916.473318,27.4541824,0.803738318,0.789719626,0.014018692,Proactive Correction
Jharkhand,Simdega,1472,594,13,2079,0.708032708,0.285714286,26085,62711,42710.91871,0.293759924,0.706240076,0.415949101,0.403258656,17223.54767,12540.86538,20.53409553,0.864485981,0.78411215,0.080373832,Proactive Correction
Jharkhand,West Singhbhum,4211,2589,48,6848,0.614924065,0.378066589,59305,131186,27817.02687,0.31132541,0.68867459,0.45206461,0.614672365,17098.35768,8658.928311,4.061472751,0.861682243,0.746728972,0.114953271,Proactive Correction
Karnataka,Bagalkot,6158,900,84,7142,0.862223467,0.126015122,52661,77134,18173.48082,0.405721286,0.594278714,0.682712128,0.146127618,2655.647465,7372.392552,2.54423643,0.23271028,0.508411215,-0.275700935,Stricter Enforcement
Karnataka,Bagalkot *,218,31,0,249,0.875502008,0.124497992,1196,1725,11730.92369,0.409308693,0.590691307,0.692931634,0.141552511,1660.54171,4784,46.92369478,0.147663551,0.5,-0.352336449,Stricter Enforcement
Karnataka,Ballari,2450,267,64,2781,0.880978065,0.09600863,24399,37360,22207.47932,0.395061528,0.604938472,0.653060678,0.108935129,2419.174614,8770.30913,7.982559067,0.214018692,0.531775701,-0.317757009,Stricter Enforcement
Karnataka,Bangalore,5776,1236,4,7016,0.823261117,0.176168757,51842,198979,35749.85747,0.206688409,0.793311591,0.260538748,0.213951878,7648.749149,7388.057574,5.094749532,0.607476636,0.929906542,-0.322429907,Stricter Enforcement
Karnataka,Bangalore Rural,2251,267,126,2644,0.851361573,0.100983359,48234,38035,32628.21483,0.559105135,0.440894865,1.268114418,0.118561279,3868.442877,18235.91682,12.33580901,0.348598131,0.201869159,0.146728972,Proactive Correction
Karnataka,Belagavi,7063,622,120,7805,0.904932735,0.079692505,54321,79001,17081.61435,0.407439077,0.592560923,0.687590188,0.088052095,1504.071932,6958.877786,2.188267275,0.136448598,0.506542056,-0.370093458,Stricter Enforcement
Karnataka,Belgaum,5861,880,2,6743,0.869197686,0.13050571,63022,111069,25818.03352,0.362003998,0.637996002,0.567407941,0.150119413,3875.788041,9344.89917,3.828296785,0.35046729,0.618691589,-0.268224299,Stricter Enforcement
Karnataka,Bellary,3623,596,1,4220,0.858530806,0.141232227,27380,68247,22660.42654,0.286317815,0.713682185,0.401183917,0.164459161,3726.71474,6486.614546,5.368497167,0.33271028,0.806542056,-0.473831776,Stricter Enforcement
Karnataka,Bengaluru,20441,6732,3807,30980,0.659812782,0.217301485,303924,297075,19399.58037,0.505697171,0.494302829,1.02305134,0.329321984,6388.708301,9810.012588,0.626176701,0.521495327,0.276635514,0.244859813,Proactive Correction
Karnataka,Bengaluru Rural,1439,730,621,2790,0.515770609,0.261648746,79,10,31.89964158,0.877777778,0.122222222,7.181818182,0.506944444,16.17134608,28.30526693,0.011429467,0.079439252,0.020560748,0.058878505,Proactive Correction
Karnataka,Bengaluru South,15,183,5,203,0.073891626,0.901477833,3714,146,19014.77833,0.961926962,0.038073038,25.26530612,11.4375,217481.5271,18205.88235,93.20969767,0.997196262,0.012149533,0.985046729,Proactive Correction
Karnataka,Bengaluru Urban,12111,7167,3796,23074,0.524876484,0.310609344,0,0,0,0,1,0,0.591727213,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Karnataka,Bidar,3960,896,64,4920,0.804878049,0.182113821,43059,79708,24952.64228,0.350734719,0.649265281,0.540202487,0.226205504,5644.425014,8750.050803,5.070644641,0.48411215,0.635514019,-0.151401869,Stricter Enforcement
